2021,N. Djokovic,D. Medvedev,R. Nadal
2020,N. Djokovic,R. Nadal,D. Thiem
2019,R. Nadal,N. Djokovic,R. Federer
2018,N. Djokovic,R. Nadal,R. Federer
2017,R. Nadal,R. Federer,G. Dimitrov
2016,A. Murray,N. Djokovic,M. Raonic
2015,N. Djokovic,A. Murray,R. Federer
2014,N. Djokovic,R. Federer,R. Nadal
2013,R. Nadal,N. Djokovic,D. Ferrer
2012,N. Djokovic,R. Federer,A. Murray
2011,N. Djokovic,R. Nadal,R. Federer
2010,R. Nadal,R. Federer,N. Djokovic
2009,R. Federer,R. Nadal,N. Djokovic
2008,R. Nadal,R. Federer,N. Djokovic
2007,R. Federer,R. Nadal,N. Djokovic
2006,R. Federer,R. Nadal,N. Davydenko
2005,R. Federer,R. Nadal,A. Roddick
2004,R. Federer,A. Roddick,L. Hewitt
2003,A. Roddick,R. Federer,J. Ferrero
2002,L. Hewitt,A. Agassi,M. Safin
2001,L. Hewitt,G. Kuerten,A. Agassi
2000,G. Kuerten,M. Safin,P. Sampras
1999,A. Agassi,E. Kafelnikov,P. Sampras
1998,P. Sampras,M. Rios,A. Corretja
1997,P. Sampras,P. Rafter,M. Chang
1996,P. Sampras,M. Chang,E. Kafelnikov
1995,P. Sampras,A. Agassi,T. Muster
1994,P. Sampras,A. Agassi,B. Becker
1993,P. Sampras,M. Stich,J. Courier
1992,J. Courier,S. Edberg,P. Sampras
1991,S. Edberg,J. Courier,B. Becker
1990,S. Edberg,B. Becker,I. Lendl
1989,I. Lendl,B. Becker,S. Edberg
1986,I. Lendl,M. Wilander,B. Becker
