2021,1. N. Djokovic,2. D. Medvede,3. R. Nadal
2020,1. N. Djokovic,2. R. Nada,3. D. Thiem
2019,1. R. Nadal,2. N. Djokovi,3. R. Federer
2018,1. N. Djokovic,2. R. Nada,3. R. Federer
2017,1. R. Nadal,2. R. Federe,3. G. Dimitrov
2016,1. A. Murray,2. N. Djokovi,3. M. Raonic
2015,1. N. Djokovic,2. A. Murra,3. R. Federer
2014,1. N. Djokovic,2. R. Federe,3. R. Nadal
2013,1. R. Nadal,2. N. Djokovi,3. D. Ferrer
2012,1. N. Djokovic,2. R. Federe,3. A. Murray
2011,1. N. Djokovic,2. R. Nada,3. R. Federer
2010,1. R. Nadal,2. R. Federe,3. N. Djokovic
2009,1. R. Federer,2. R. Nada,3. N. Djokovic
2008,1. R. Nadal,2. R. Federe,3. N. Djokovic
2007,1. R. Federer,2. R. Nada,3. N. Djokovic
2006,1. R. Federer,2. R. Nada,3. N. Davydenko
2005,1. R. Federer,2. R. Nada,3. A. Roddick
2004,1. R. Federer,2. A. Roddic,3. L. Hewitt
2003,1. A. Roddick,2. R. Federe,3. J. Ferrero
2002,1. L. Hewitt,2. A. Agass,3. M. Safin
2001,1. L. Hewitt,2. G. Kuerte,3. A. Agassi
2000,1. G. Kuerten,2. M. Safi,3. P. Sampras
1999,1. A. Agassi,2. E. Kafelniko,3. P. Sampras
1998,1. P. Sampras,2. M. Rio,3. A. Corretja
1997,1. P. Sampras,2. P. Rafte,3. M. Chang
1996,1. P. Sampras,2. M. Chan,3. E. Kafelnikov
1995,1. P. Sampras,2. A. Agass,3. T. Muster
1994,1. P. Sampras,2. A. Agass,3. B. Becker
1993,1. P. Sampras,2. M. Stic,3. J. Courier
1992,1. J. Courier,2. S. Edber,3. P. Sampras
1991,1. S. Edberg,2. J. Courie,3. B. Becker
1990,1. S. Edberg,2. B. Becke,3. I. Lendl
1989,1. I. Lendl,2. B. Becke,3. S. Edberg
1986,1. I. Lendl,2. M. Wilande,3. B. Becker
