Year,Winner_Open_Australie_men,Runner-Up_Open_Australie_men,Score_Open_Australie_men,Winner_Rolland_Garros_men,Runner-Up_Rolland_Garros_men,Score_Rolland_Garros_men,Winner_US_Open_men,Runner-Up_US_Open_men,Score_US_Open_men,Winner_Wimbledon_men,Runner-Up_Wimbledon_men,Score_Wimbledon_men,Winner_Open_Australie_women,Runner-Up_Open_Australie_women,Score_Open_Australie_women,Winner_Rolland_Garros_women,Runner-Up_Rolland_Garros_women,Score_Rolland_Garros_women,Winner_US_Open_women,Runner-Up_US_Open_women,Score_US_Open_women,Winner_Wimbledon_women,Runner-Up_Wimbledon_women,Score_Wimbledon_women,1st_place_atp,2nd_place_atp,3rd_place_atp,1st_place_wta,2nd_place_wta,3rd_place_wta
2024,J. Sinner,D. Medvedev,"(3-6, 3-6, 6-4, 6-4, 6-3)",,,,,,,,,,A. Sabalenka,Q. Zheng,"(6-3, 6-2)",,,,,,,,,,,,,,,
2023,N. Djokovic,S. Tsitsipas,"(6-3, 7-6, 7-6)",N. Djokovic,C. Ruud,"(7-6, 6-3, 7-5)",N. Djokovic,D. Medvedev,"(6-3, 7-6, 6-3)",C. Alcaraz,N. Djokovic,"(1-6, 7-6, 6-1, 3-6, 6-4)",A. Sabalenka,E. Rybakina,"(4-6, 6-3, 6-4)",I. Swiatek,K. Muchova,"(6-2, 5-7, 6-4)",C. Gauff,A. Sabalenka,"(2-6, 6-3, 6-2)",M. Vondrousova,O. Jabeur,"(6-4, 6-4)",,,,,,
2022,R. Nadal,D. Medvedev,"(2-6, 6-7, 6-4, 6-4, 7-5)",R. Nadal,C. Ruud,"(6-3, 6-3, 6-0)",C. Alcaraz,C. Ruud,"(6-4, 2-6, 7-6, 6-3)",N. Djokovic,N. Kyrgios,"(4-6, 6-3, 6-4, 7-6)",A. Barty,D. Collins,"(6-3, 7-6)",I. Swiatek,C. Gauff,"(6-1, 6-3)",I. Swiatek,O. Jabeur,"(6-2, 7-6)",E. Rybakina,O. Jabeur,"(3-6, 6-2, 6-2)",,,,,,
2021,N. Djokovic,D. Medvedev,"(7-5, 6-2, 6-2)",N. Djokovic,S. Tsitsipas,"(6-7, 2-6, 6-3, 6-2, 6-4)",D. Medvedev,N. Djokovic,"(6-4, 6-4, 6-4)",N. Djokovic,M. Berrettini,"(6-7, 6-4, 6-4, 6-3)",N. Osaka,J. Brady,"(6-4, 6-3)",B. Krejcikova,A. Pavlyuchenkova,"(6-1, 2-6, 6-4)",E. Raducanu,L. Fernandez,"(6-4, 6-3)",A. Barty,K. Pliskova,"(6-3, 6-7, 6-3)",,,,,,
2020,N. Djokovic,D. Thiem,"(6-4, 4-6, 2-6, 6-3, 6-4)",R. Nadal,N. Djokovic,"(6-0, 6-2, 7-5)",D. Thiem,A. Zverev,"(2-6, 4-6, 6-4, 6-3, 7-6)",Non Attribué,Non Attribué,(),S. Kenin,G. Muguruza,"(4-6, 6-2, 6-2)",I. Swiatek,S. Kenin,"(6-4, 6-1)",N. Osaka,V. Azarenka,"(1-6, 6-3, 6-3)",Non Attribué,Non Attribué,(),N. Djokovic,R. Nadal,D. Thiem,A. Barty,S. Halep,N. Osaka
2019,N. Djokovic,R. Nadal,"(6-3, 6-2, 6-3)",R. Nadal,D. Thiem,"(6-3, 5-7, 6-1, 6-1)",R. Nadal,D. Medvedev,"(7-5, 6-3, 5-7, 4-6, 6-4)",N. Djokovic,R. Federer,"(7-6, 1-6, 7-6, 4-6, 13-12)",N. Osaka,P. Kvitova,"(7-6, 5-7, 6-4)",A. Barty,M. Vondrousova,"(6-1, 6-3)",B. Andreescu,S. Williams,"(6-3, 7-5)",S. Halep,S. Williams,"(6-2, 6-2)",R. Nadal,N. Djokovic,R. Federer,A. Barty,K. Pliskova,N. Osaka
2018,R. Federer,M. Cilic,"(6-2, 6-7, 6-3, 3-6, 6-1)",R. Nadal,D. Thiem,"(6-4, 6-3, 6-2)",N. Djokovic,J. Del Potro,"(6-3, 7-6, 6-3)",N. Djokovic,K. Anderson,"(6-2, 6-2, 7-6)",C. Wozniacki,S. Halep,"(7-6, 3-6, 6-4)",S. Halep,S. Stephens,"(3-6, 6-4, 6-1)",N. Osaka,S. Williams,"(6-2, 6-4)",A. Kerber,S. Williams,"(6-3, 6-3)",N. Djokovic,R. Nadal,R. Federer,S. Halep,A. Kerber,C. Wozniacki
2017,R. Federer,R. Nadal,"(6-4, 3-6, 6-1, 3-6, 6-3)",R. Nadal,S. Wawrinka,"(6-2, 6-3, 6-1)",R. Nadal,K. Anderson,"(6-3, 6-3, 6-4)",R. Federer,M. Cilic,"(6-3, 6-1, 6-4)",S. Williams,V. Williams,"(6-4, 6-4)",J. Ostapenko,S. Halep,"(4-6, 6-4, 6-3)",S. Stephens,M. Keys,"(6-3, 6-0)",G. Muguruza,V. Williams,"(7-5, 6-0)",R. Nadal,R. Federer,G. Dimitrov,S. Halep,G. Muguruza,C. Wozniacki
2016,N. Djokovic,A. Murray,"(6-1, 7-5, 7-6)",N. Djokovic,A. Murray,"(3-6, 6-1, 6-2, 6-4)",S. Wawrinka,N. Djokovic,"(6-7, 6-4, 7-5, 6-3)",A. Murray,M. Raonic,"(6-4, 7-6, 7-6)",A. Kerber,S. Williams,"(6-4, 3-6, 6-4)",G. Muguruza,S. Williams,"(7-5, 6-4)",A. Kerber,K. Pliskova,"(6-3, 4-6, 6-4)",S. Williams,A. Kerber,"(7-5, 6-3)",A. Murray,N. Djokovic,M. Raonic,A. Kerber,S. Williams,A. Radwanska
2015,N. Djokovic,A. Murray,"(7-6, 6-7, 6-3, 6-0)",S. Wawrinka,N. Djokovic,"(4-6, 6-4, 6-3, 6-4)",N. Djokovic,R. Federer,"(6-4, 5-7, 6-4, 6-4)",N. Djokovic,R. Federer,"(7-6, 6-7, 6-4, 6-3)",S. Williams,M. Sharapova,"(6-3, 7-6)",S. Williams,L. Safarova,"(6-3, 6-7, 6-2)",F. Pennetta,R. Vinci,"(7-6, 6-2)",S. Williams,G. Muguruza,"(6-4, 6-4)",N. Djokovic,A. Murray,R. Federer,S. Williams,S. Halep,G. Muguruza
