Year,winner open australie women,finalist open australie women,Score Final
2024,A. Sabalenka,Q. Zheng,"(6-3, 6-2)"
2023,A. Sabalenka,E. Rybakina,"(4-6, 6-3, 6-4)"
2022,A. Barty,D. Collins,"(6-3, 7-6)"
2021,N. Osaka,J. Brady,"(6-4, 6-3)"
2020,S. Kenin,G. Muguruza,"(4-6, 6-2, 6-2)"
2019,N. Osaka,P. Kvitova,"(7-6, 5-7, 6-4)"
2018,C. Wozniacki,S. Halep,"(7-6, 3-6, 6-4)"
2017,S. Williams,V. Williams,"(6-4, 6-4)"
2016,A. Kerber,S. Williams,"(6-4, 3-6, 6-4)"
2015,S. Williams,M. Sharapova,"(6-3, 7-6)"
2014,N. Li,D. Cibulkova,"(7-6, 6-0)"
2013,V. Azarenka,N. Li,"(4-6, 6-4, 6-3)"
2012,V. Azarenka,M. Sharapova,"(6-3, 6-0)"
2011,K. Clijsters,N. Li,"(3-6, 6-3, 6-3)"
2010,S. Williams,J. Henin,"(6-4, 3-6, 6-2)"
2009,S. Williams,D. Safina,"(6-0, 6-3)"
2008,M. Sharapova,A. Ivanovic,"(7-5, 6-3)"
2007,S. Williams,M. Sharapova,"(6-1, 6-2)"
2006,A. Mauresmo,J. Henin,"(6-1, 2-0)"
2005,S. Williams,L. Davenport,"(2-6, 6-3, 6-0)"
2004,J. Henin,K. Clijsters,"(6-3, 4-6, 6-3)"
2003,S. Williams,V. Williams,"(7-6, 3-6, 6-4)"
2002,J. Capriati,M. Hingis,"(4-6, 7-6, 6-2)"
2001,J. Capriati,M. Hingis,"(6-4, 6-3)"
2000,L. Davenport,M. Hingis,"(6-1, 7-5)"
1999,M. Hingis,A. Mauresmo,"(6-2, 6-3)"
1998,M. Hingis,C. Martinez,"(6-3, 6-3)"
1997,M. Hingis,M. Pierce,"(6-2, 6-2)"
1996,M. Seles,A. Huber,"(6-4, 6-1)"
1995,M. Pierce,A. Sanchez-Vicario,"(6-3, 6-2)"
1994,S. Graf,A. Sanchez-Vicario,"(6-0, 6-2)"
1993,M. Seles,S. Graf,"(4-6, 6-3, 6-2)"
1992,M. Seles,M. Fernandez,"(6-2, 6-3)"
1991,M. Seles,J. Novotna,"(5-7, 6-3, 6-1)"
1990,S. Graf,M. Fernandez,"(6-3, 6-4)"
1989,S. Graf,H. Sukova,"(6-4, 6-4)"
1988,S. Graf,C. Evert,"(6-1, 7-6)"
1987,H. Mandlikova,M. Navratilova,"(7-5, 7-6)"
1985,M. Navratilova,C. Evert,"(6-2, 4-6, 6-2)"
1984,C. Evert,H. Sukova,"(6-7, 6-1, 6-3)"
1983,M. Navratilova,K. Jordan,"(6-2, 7-6)"
1982,C. Evert,M. Navratilova,"(6-3, 2-6, 6-3)"
1981,M. Navratilova,C. Evert,"(6-7, 6-4, 7-5)"
1980,H. Mandlikova,W. Turnbull,"(6-0, 7-5)"
1979,B. Jordan,S. Walsh-Pete,"(6-3, 6-3)"
1978,C. O'Neil,B. Nagelsen,"(6-3, 7-6)"
1977,E. Goolagong,H. Gourlay,"(6-3, 6-0)"
1976,E. Goolagong,R. Tomanova,"(6-2, 6-2)"
1975,E. Goolagong,M. Navratilova,"(6-3, 6-2)"
1974,E. Goolagong,C. Evert,"(7-6, 4-6, 6-0)"
1973,M. Court-Smith,E. Goolagong,"(6-4, 7-5)"
1972,V. Wade,E. Goolagong,"(6-4, 6-4)"
1971,M. Court-Smith,E. Goolagong,"(2-6, 7-6, 7-5)"
1970,M. Court-Smith,K. Melville-Reid,"(6-3, 6-1)"
1969,M. Court-Smith,B. King,"(6-4, 6-1)"
1968,B. King,M. Court-Smith,"(6-1, 6-2)"
1967,N. Richey,L. Turner,"(6-1, 6-4)"
1966,M. Court-Smith,N. Richey,()
1965,M. Court-Smith,M. Bueno,"(5-7, 6-4, 5-2)"
1964,M. Court-Smith,L. Turner,"(6-3, 6-2)"
1963,M. Court-Smith,J. Lehane-O'Neill,"(6-2, 6-2)"
1962,M. Court-Smith,J. Lehane-O'Neill,"(6-0, 6-2)"
1961,M. Court-Smith,J. Lehane-O'Neill,"(6-1, 6-4)"
1960,M. Court-Smith,J. Lehane-O'Neill,"(7-5, 6-2)"
1959,M. Carter-Reitano,R. Schuurman,"(6-2, 6-3)"
1958,A. Mortimer,L. Coghlan,"(6-3, 6-4)"
1957,S. Fry,A. Gibson,"(6-3, 6-4)"
1956,M. Carter-Reitano,T. Coyne-Long,"(3-6, 6-2, 9-7)"
1955,B. Penrose,T. Coyne-Long,"(6-4, 6-3)"
1954,T. Coyne-Long,J. Staley,"(6-3, 6-4)"
1953,M. Connolly,J. Sampson,"(6-3, 6-2)"
1952,T. Coyne-Long,H. Angwin,"(6-2, 6-3)"
1951,N. Wynne Bolton,T. Coyne-Long,"(6-1, 7-5)"
