Year,winner rolland garros women,finalist rolland garros women,Score Final
2023,I. Swiatek,K. Muchova,"(6-2, 5-7, 6-4)"
2022,I. Swiatek,C. Gauff,"(6-1, 6-3)"
2021,B. Krejcikova,A. Pavlyuchenkova,"(6-1, 2-6, 6-4)"
2020,I. Swiatek,S. Kenin,"(6-4, 6-1)"
2019,A. Barty,M. Vondrousova,"(6-1, 6-3)"
2018,S. Halep,S. Stephens,"(3-6, 6-4, 6-1)"
2017,J. Ostapenko,S. Halep,"(4-6, 6-4, 6-3)"
2016,G. Muguruza,S. Williams,"(7-5, 6-4)"
2015,S. Williams,L. Safarova,"(6-3, 6-7, 6-2)"
2014,M. Sharapova,S. Halep,"(6-4, 6-7, 6-4)"
2013,S. Williams,M. Sharapova,"(6-4, 6-4)"
2012,M. Sharapova,S. Errani,"(6-3, 6-2)"
2011,N. Li,F. Schiavone,"(6-4, 7-6)"
2010,F. Schiavone,S. Stosur,"(6-4, 7-6)"
2009,S. Kuznetsova,D. Safina,"(6-4, 6-2)"
2008,A. Ivanovic,D. Safina,"(6-4, 6-3)"
2007,J. Henin,A. Ivanovic,"(6-1, 6-2)"
2006,J. Henin,S. Kuznetsova,"(6-4, 6-4)"
2005,J. Henin,M. Pierce,"(6-1, 6-1)"
2004,A. Myskina,E. Dementieva,"(6-1, 6-2)"
2003,J. Henin,K. Clijsters,"(6-0, 6-4)"
2002,S. Williams,V. Williams,"(7-5, 6-3)"
2001,J. Capriati,K. Clijsters,"(1-6, 6-4, 12-10)"
2000,M. Pierce,C. Martinez,"(6-2, 7-5)"
1999,S. Graf,M. Hingis,"(4-6, 7-5, 6-2)"
1998,A. Sanchez-Vicario,M. Seles,"(7-6, 0-6, 6-2)"
1997,I. Majoli,M. Hingis,"(6-4, 6-2)"
1996,S. Graf,A. Sanchez-Vicario,"(6-3, 6-7, 10-8)"
1995,S. Graf,A. Sanchez-Vicario,"(5-7, 6-4, 6-0)"
1994,A. Sanchez-Vicario,M. Pierce,"(6-4, 6-4)"
1993,S. Graf,A. Sanchez-Vicario,"(4-6, 6-2, 6-4)"
1992,M. Seles,S. Graf,"(6-2, 3-6, 10-8)"
1991,M. Seles,A. Sanchez-Vicario,"(6-3, 6-4)"
1990,M. Seles,S. Graf,"(7-6, 6-4)"
1989,A. Sanchez-Vicario,S. Graf,"(7-6, 3-6, 7-5)"
1988,S. Graf,N. Zvereva,"(6-0, 6-0)"
1987,S. Graf,M. Navratilova,"(6-4, 4-6, 8-6)"
1986,C. Evert,M. Navratilova,"(2-6, 6-3, 6-3)"
1985,C. Evert,M. Navratilova,"(6-3, 6-7, 7-5)"
1984,M. Navratilova,C. Evert,"(6-3, 6-1)"
1983,C. Evert,M. Jausovec,"(6-1, 6-2)"
1982,M. Navratilova,A. Jaeger,"(7-6, 6-1)"
1981,H. Mandlikova,S. Hanika,"(6-2, 6-4)"
1980,C. Evert,V. Ruzici,"(6-0, 6-3)"
1979,C. Evert,W. Turnbull,"(6-2, 6-0)"
1978,V. Ruzici,M. Jausovec,"(6-2, 6-2)"
1977,M. Jausovec,F. Mihai,"(6-2, 6-7, 6-1)"
1976,S. Barker,R. Tomanova,"(6-2, 0-6, 6-2)"
1975,C. Evert,M. Navratilova,"(2-6, 6-2, 6-1)"
1974,C. Evert,O. Morozova,"(6-1, 6-2)"
1973,M. Court-Smith,C. Evert,"(6-7, 7-6, 6-4)"
1972,B. King,E. Goolagong,"(6-3, 6-3)"
1971,E. Goolagong,H. Gourlay,"(6-3, 7-5)"
1970,M. Court-Smith,H. Masthoff,"(6-2, 6-4)"
1969,M. Court-Smith,A. Haydon-Jones,"(6-1, 4-6, 6-3)"
1968,N. Richey,A. Haydon-Jones,"(5-7, 6-4, 6-1)"
1967,F. Durr,L. Turner,"(4-6, 6-3, 6-4)"
1966,A. Haydon-Jones,N. Richey,"(6-3, 6-1)"
1965,L. Turner,M. Court-Smith,"(6-3, 6-4)"
1964,M. Court-Smith,M. Bueno,"(5-7, 6-1, 6-2)"
1963,L. Turner,A. Haydon-Jones,"(2-6, 6-3, 7-5)"
1962,M. Court-Smith,L. Turner,"(6-2, 3-6, 7-5)"
1961,A. Haydon-Jones,Y. Ramirez,"(6-2, 6-1)"
1960,D. Hard,Y. Ramirez,"(6-3, 6-4)"
