Year,winner us open men,finalist us open men,Score Final
2023,N. Djokovic,D. Medvedev,"(6-3, 7-6, 6-3)"
2022,C. Alcaraz,C. Ruud,"(6-4, 2-6, 7-6, 6-3)"
2021,D. Medvedev,N. Djokovic,"(6-4, 6-4, 6-4)"
2020,D. Thiem,A. Zverev,"(2-6, 4-6, 6-4, 6-3, 7-6)"
2019,R. Nadal,D. Medvedev,"(7-5, 6-3, 5-7, 4-6, 6-4)"
2018,N. Djokovic,J. Del Potro,"(6-3, 7-6, 6-3)"
2017,R. Nadal,K. Anderson,"(6-3, 6-3, 6-4)"
2016,S. Wawrinka,N. Djokovic,"(6-7, 6-4, 7-5, 6-3)"
2015,N. Djokovic,R. Federer,"(6-4, 5-7, 6-4, 6-4)"
2014,M. Cilic,K. Nishikori,"(6-3, 6-3, 6-3)"
2013,R. Nadal,N. Djokovic,"(6-2, 3-6, 6-4, 6-1)"
2012,A. Murray,N. Djokovic,"(7-6, 7-5, 2-6, 3-6, 6-2)"
2011,N. Djokovic,R. Nadal,"(6-2, 6-4, 6-7, 6-1)"
2010,R. Nadal,N. Djokovic,"(6-4, 5-7, 6-4, 6-2)"
2009,J. Del Potro,R. Federer,"(3-6, 7-6, 4-6, 7-6, 6-2)"
2008,R. Federer,A. Murray,"(6-2, 7-5, 6-2)"
2007,R. Federer,N. Djokovic,"(7-6, 7-6, 6-4)"
2006,R. Federer,A. Roddick,"(6-2, 4-6, 7-5, 6-1)"
2005,R. Federer,A. Agassi,"(6-3, 2-6, 7-6, 6-1)"
2004,R. Federer,L. Hewitt,"(6-0, 7-6, 6-0)"
2003,A. Roddick,J. Ferrero,"(6-3, 7-6, 6-3)"
2002,P. Sampras,A. Agassi,"(6-3, 6-4, 5-7, 6-4)"
2001,L. Hewitt,P. Sampras,"(7-6, 6-1, 6-1)"
2000,M. Safin,P. Sampras,"(6-4, 6-3, 6-3)"
1999,A. Agassi,T. Martin,"(6-4, 6-7, 6-7, 6-3, 6-2)"
1998,P. Rafter,M. Philippoussis,"(6-3, 3-6, 6-2, 6-0)"
1997,P. Rafter,G. Rusedski,"(6-3, 6-2, 4-6, 7-5)"
1996,P. Sampras,M. Chang,"(6-1, 6-4, 7-6)"
1995,P. Sampras,A. Agassi,"(6-4, 6-3, 4-6, 7-5)"
1994,A. Agassi,M. Stich,"(6-1, 7-6, 7-5)"
1993,P. Sampras,C. Pioline,"(6-4, 6-4, 6-3)"
1992,S. Edberg,P. Sampras,"(3-6, 6-4, 7-6, 6-2)"
1991,S. Edberg,J. Courier,"(6-2, 6-4, 6-0)"
1990,P. Sampras,A. Agassi,"(6-4, 6-3, 6-2)"
1989,B. Becker,I. Lendl,"(7-6, 1-6, 6-3, 7-6)"
1988,M. Wilander,I. Lendl,"(6-4, 4-6, 6-3, 5-7, 6-4)"
1987,I. Lendl,M. Wilander,"(6-7, 6-0, 7-6, 6-4)"
1986,I. Lendl,M. Mecir Sr.,"(6-4, 6-2, 6-0)"
1985,I. Lendl,J. Mcenroe,"(7-6, 6-3, 6-4)"
1984,J. Mcenroe,I. Lendl,"(6-3, 6-4, 6-1)"
1983,J. Connors,I. Lendl,"(6-3, 6-7, 7-5, 6-0)"
1982,J. Connors,I. Lendl,"(6-3, 6-2, 4-6, 6-4)"
1981,J. Mcenroe,B. Borg,"(4-6, 6-2, 6-4, 6-3)"
1980,J. Mcenroe,B. Borg,"(7-6, 6-1, 6-7, 7-5, 6-4)"
1979,J. Mcenroe,V. Gerulaitis,"(7-5, 6-3, 6-3)"
1978,J. Connors,B. Borg,"(6-4, 6-2, 6-2)"
1977,G. Vilas,J. Connors,"(2-6, 6-3, 7-6, 6-0)"
1976,J. Connors,B. Borg,"(6-4, 3-6, 7-6, 6-4)"
1975,M. Orantes,J. Connors,"(6-4, 6-3, 6-3)"
1974,J. Connors,K. Rosewall,"(6-1, 6-0, 6-1)"
1973,J. Newcombe,J. Kodes,"(6-4, 1-6, 4-6, 6-2, 6-3)"
1972,I. Nastase,A. Ashe,"(3-6, 6-3, 6-7, 6-4, 6-3)"
1971,S. Smith,J. Kodes,"(3-6, 6-3, 6-2, 7-6)"
1970,K. Rosewall,T. Roche,"(2-6, 6-4, 7-6, 6-3)"
1969,R. Laver,T. Roche,"(7-9, 6-1, 6-2, 6-2)"
1968,A. Ashe,T. Okker,"(14-12, 5-7, 6-3, 3-6, 6-3)"
1967,J. Newcombe,C. Graebner,"(6-4, 6-4, 8-6)"
1966,F. Stolle,J. Newcombe,"(6-4, 10-12, 3-6, 4-6)"
1965,M. Santana,C. Drysdale,"(6-2, 7-9, 7-5, 6-1)"
1964,R. Emerson,F. Stolle,"(6-4, 6-1, 6-4)"
1963,R. Osuna,F. Froehling,"(7-5, 6-4, 6-2)"
1962,R. Laver,R. Emerson,"(6-2, 6-4, 5-7, 6-4)"
1961,R. Emerson,R. Laver,"(5-7, 3-6, 2-6)"
1960,N. Fraser,R. Laver,"(6-4, 6-4, 10-8)"
1959,N. Fraser,A. Olmedo,"(3-6, 7-5, 2-6, 4-6)"
1958,A. Cooper,J. Anderson,"(2-6, 6-3, 6-4, 8-10, 6-8)"
1957,M. Anderson,A. Cooper,"(8-10, 5-7, 4-6)"
1956,K. Rosewall,L. Hoad,"(6-4, 2-6, 3-6, 3-6)"
1955,T. Trabert,K. Rosewall,"(9-7, 6-3, 6-3)"
1954,V. Seixas,R. Hartwig,"(6-3, 2-6, 4-6, 4-6)"
1953,T. Trabert,V. Seixas,"(3-6, 2-6, 3-6)"
1952,F. Sedgman,G. Mulloy,"(6-1, 6-2, 6-3)"
1951,F. Sedgman,V. Seixas,"(6-4, 6-1, 6-1)"
1950,A. Larsen,H. Flam,"(6-3, 4-6, 5-7, 6-4, 6-3)"
1949,P. Gonzales,T. Schroeder,"(16-18, 2-6, 6-1, 6-2, 6-4)"
1948,P. Gonzales,E. Sturgess,"(6-2, 6-3, 14-12)"
1947,J. Kramer,F. Parker,"(4-6, 2-6, 6-1, 6-0, 6-3)"
1946,J. Kramer,T. Brown,"(9-7, 6-3, 6-0)"
1945,F. Parker,B. Talbert,"(14-12, 6-1, 6-2)"
1944,F. Parker,B. Talbert,"(6-4, 3-6, 6-3, 6-3)"
1943,J. Hunt,J. Kramer,"(6-3, 6-8, 10-8, 6-0)"
1942,T. Schroeder,F. Parker,"(8-6, 7-5, 3-6, 4-6, 6-2)"
1941,B. Riggs,F. Kovacs,"(5-7, 6-1, 6-3, 6-3)"
1940,W. Mcneill,B. Riggs,"(4-6, 6-8, 6-3, 6-3, 7-5)"
1939,B. Riggs,W. Van Horn,"(6-4, 6-2, 6-4)"
1938,D. Budge,G. Mako,"(6-3, 6-8, 6-2, 6-1)"
