Year,winner us open women,finalist us open women,Score Final
2023,C. Gauff,A. Sabalenka,"(2-6, 6-3, 6-2)"
2022,I. Swiatek,O. Jabeur,"(6-2, 7-6)"
2021,E. Raducanu,L. Fernandez,"(6-4, 6-3)"
2020,N. Osaka,V. Azarenka,"(1-6, 6-3, 6-3)"
2019,B. Andreescu,S. Williams,"(6-3, 7-5)"
2018,N. Osaka,S. Williams,"(6-2, 6-4)"
2017,S. Stephens,M. Keys,"(6-3, 6-0)"
2016,A. Kerber,K. Pliskova,"(6-3, 4-6, 6-4)"
2015,F. Pennetta,R. Vinci,"(7-6, 6-2)"
2014,S. Williams,C. Wozniacki,"(6-3, 6-3)"
2013,S. Williams,V. Azarenka,"(7-5, 6-7, 6-1)"
2012,S. Williams,V. Azarenka,"(6-2, 2-6, 7-5)"
2011,S. Stosur,S. Williams,"(6-2, 6-3)"
2010,K. Clijsters,V. Zvonareva,"(6-2, 6-1)"
2009,K. Clijsters,C. Wozniacki,"(7-5, 6-3)"
2008,S. Williams,J. Jankovic,"(6-4, 7-5)"
2007,J. Henin,S. Kuznetsova,"(6-1, 6-3)"
2006,M. Sharapova,J. Henin,"(6-4, 6-4)"
2005,K. Clijsters,M. Pierce,"(6-3, 6-1)"
2004,S. Kuznetsova,E. Dementieva,"(6-3, 7-5)"
2003,J. Henin,K. Clijsters,"(7-5, 6-1)"
2002,S. Williams,V. Williams,"(6-4, 6-3)"
2001,V. Williams,S. Williams,"(6-2, 6-4)"
2000,V. Williams,L. Davenport,"(6-4, 7-5)"
1999,S. Williams,M. Hingis,"(6-3, 7-6)"
1998,L. Davenport,M. Hingis,"(6-3, 7-5)"
1997,M. Hingis,V. Williams,"(6-0, 6-4)"
1996,S. Graf,M. Seles,"(7-5, 6-4)"
1995,S. Graf,M. Seles,"(7-6, 0-6, 6-3)"
1994,A. Sanchez-Vicario,S. Graf,"(1-6, 7-6, 6-4)"
1993,S. Graf,H. Sukova,"(6-3, 6-3)"
1992,M. Seles,A. Sanchez-Vicario,"(6-3, 6-3)"
1991,M. Seles,M. Navratilova,"(7-6, 6-1)"
1990,G. Sabatini,S. Graf,"(6-2, 7-6)"
1989,S. Graf,M. Navratilova,"(3-6, 7-5, 6-1)"
1988,S. Graf,G. Sabatini,"(6-3, 3-6, 6-1)"
1987,M. Navratilova,S. Graf,"(7-6, 6-1)"
1986,M. Navratilova,H. Sukova,"(6-3, 6-2)"
1985,H. Mandlikova,M. Navratilova,"(7-6, 1-6, 7-6)"
1984,M. Navratilova,C. Evert,"(4-6, 6-4, 6-4)"
1983,M. Navratilova,C. Evert,"(6-1, 6-3)"
1982,C. Evert,H. Mandlikova,"(6-3, 6-1)"
1981,T. Austin,M. Navratilova,"(1-6, 7-6, 7-6)"
1980,C. Evert,H. Mandlikova,"(5-7, 6-1, 6-1)"
1979,T. Austin,C. Evert,"(6-4, 6-3)"
1978,C. Evert,P. Shriver,"(7-5, 6-4)"
1977,C. Evert,W. Turnbull,"(7-6, 6-2)"
1976,C. Evert,E. Goolagong,"(6-3, 4-6, 8-6)"
1975,C. Evert,E. Goolagong,"(5-7, 6-4, 6-2)"
1974,B. King,E. Goolagong,"(3-6, 6-3, 7-5)"
1973,M. Court-Smith,E. Goolagong,"(7-6, 5-7, 6-2)"
1972,B. King,K. Melville-Reid,"(6-3, 7-5)"
1971,B. King,R. Casals,"(6-4, 7-6)"
1970,M. Court-Smith,R. Casals,"(6-2, 2-6, 6-1)"
1969,M. Court-Smith,N. Richey,"(6-2, 6-2)"
