Year,winner wimbledon women,finalist wimbledon women,Score Final
2023,M. Vondrousova,O. Jabeur,"(6-4, 6-4)"
2022,E. Rybakina,O. Jabeur,"(3-6, 6-2, 6-2)"
2021,A. Barty,K. Pliskova,"(6-3, 6-7, 6-3)"
2020,Non Attribué,Non Attribué,()
2019,S. Halep,S. Williams,"(6-2, 6-2)"
2018,A. Kerber,S. Williams,"(6-3, 6-3)"
2017,G. Muguruza,V. Williams,"(7-5, 6-0)"
2016,S. Williams,A. Kerber,"(7-5, 6-3)"
2015,S. Williams,G. Muguruza,"(6-4, 6-4)"
2014,P. Kvitova,E. Bouchard,"(6-3, 6-0)"
2013,M. Bartoli,S. Lisicki,"(6-1, 6-4)"
2012,S. Williams,A. Radwanska,"(6-1, 5-7, 6-2)"
2011,P. Kvitova,M. Sharapova,"(6-3, 6-4)"
2010,S. Williams,V. Zvonareva,"(6-3, 6-2)"
2009,S. Williams,V. Williams,"(7-6, 6-2)"
2008,V. Williams,S. Williams,"(7-5, 6-4)"
2007,V. Williams,M. Bartoli,"(6-4, 6-1)"
2006,A. Mauresmo,J. Henin,"(2-6, 6-3, 6-4)"
2005,V. Williams,L. Davenport,"(4-6, 7-6, 9-7)"
2004,M. Sharapova,S. Williams,"(6-1, 6-4)"
2003,S. Williams,V. Williams,"(4-6, 6-4, 6-2)"
2002,S. Williams,V. Williams,"(7-6, 6-3)"
2001,V. Williams,J. Henin,"(6-1, 3-6, 6-0)"
2000,V. Williams,L. Davenport,"(6-3, 7-6)"
1999,L. Davenport,S. Graf,"(6-4, 7-5)"
1998,J. Novotna,N. Tauziat,"(6-4, 7-6)"
1997,M. Hingis,J. Novotna,"(2-6, 6-3, 6-3)"
1996,S. Graf,A. Sanchez-Vicario,"(6-3, 7-5)"
1995,S. Graf,A. Sanchez-Vicario,"(4-6, 6-1, 7-5)"
1994,C. Martinez,M. Navratilova,"(6-4, 3-6, 6-3)"
1993,S. Graf,J. Novotna,"(7-6, 1-6, 6-4)"
1992,S. Graf,M. Seles,"(6-2, 6-1)"
1991,S. Graf,G. Sabatini,"(6-4, 3-6, 8-6)"
1990,M. Navratilova,Z. Garrison-Jackson,"(6-4, 6-1)"
1988,S. Graf,M. Navratilova,"(5-7, 6-2, 6-1)"
1987,M. Navratilova,S. Graf,"(7-5, 6-3)"
1986,M. Navratilova,H. Mandlikova,"(7-6, 6-3)"
1985,M. Navratilova,C. Evert,"(4-6, 6-3, 6-2)"
1984,M. Navratilova,C. Evert,"(7-6, 6-2)"
1983,M. Navratilova,A. Jaeger,"(6-0, 6-3)"
1982,M. Navratilova,C. Evert,"(6-1, 3-6, 6-2)"
1981,C. Evert,H. Mandlikova,"(6-2, 6-2)"
1980,E. Cawley-Goolagong,C. Evert,"(6-1, 7-6)"
1979,M. Navratilova,C. Evert,"(6-4, 6-4)"
1978,M. Navratilova,C. Evert,"(2-6, 6-4, 7-5)"
1977,V. Wade,B. Stove,"(4-6, 6-3, 6-1)"
1976,C. Evert,E. Goolagong,"(6-3, 4-6, 8-6)"
1975,B. King,E. Goolagong,"(6-0, 6-1)"
1974,C. Evert,O. Morozova,"(6-0, 6-4)"
1973,B. King,C. Evert,"(6-0, 7-5)"
1972,B. King,E. Goolagong,"(6-3, 6-3)"
1970,M. Court-Smith,B. King,"(14-12, 11-9)"
