Year,winner wimbledon,finalist wimbledon,Score Final
2023,C. Alcaraz,N. Djokovic,"(1-6, 7-6, 6-1, 3-6, 6-4)"
2022,N. Djokovic,N. Kyrgios,"(4-6, 6-3, 6-4, 7-6)"
2021,N. Djokovic,M. Berrettini,"(6-7, 6-4, 6-4, 6-3)"
2020,Non Attribué,Non Attribué,()
2019,N. Djokovic,R. Federer,"(7-6, 1-6, 7-6, 4-6, 13-12)"
2018,N. Djokovic,K. Anderson,"(6-2, 6-2, 7-6)"
2017,R. Federer,M. Cilic,"(6-3, 6-1, 6-4)"
2016,A. Murray,M. Raonic,"(6-4, 7-6, 7-6)"
2015,N. Djokovic,R. Federer,"(7-6, 6-7, 6-4, 6-3)"
2014,N. Djokovic,R. Federer,"(6-7, 6-4, 7-6, 5-7, 6-4)"
2013,A. Murray,N. Djokovic,"(6-4, 7-5, 6-4)"
2012,R. Federer,A. Murray,"(4-6, 7-5, 6-3, 6-4)"
2011,N. Djokovic,R. Nadal,"(6-4, 6-1, 1-6, 6-3)"
2010,R. Nadal,T. Berdych,"(6-3, 7-5, 6-4)"
2009,R. Federer,A. Roddick,"(5-7, 7-6, 7-6, 3-6, 16-14)"
2008,R. Nadal,R. Federer,"(6-4, 6-4, 6-7, 6-7, 9-7)"
2007,R. Federer,R. Nadal,"(7-6, 4-6, 7-6, 2-6, 6-2)"
2006,R. Federer,R. Nadal,"(6-0, 7-6, 6-7, 6-3)"
2005,R. Federer,A. Roddick,"(6-2, 7-6, 6-4)"
2004,R. Federer,A. Roddick,"(4-6, 7-5, 7-6, 6-4)"
2003,R. Federer,M. Philippoussis,"(7-6, 6-2, 7-6)"
2002,L. Hewitt,D. Nalbandian,"(6-1, 6-3, 6-2)"
2001,G. Ivanisevic,P. Rafter,"(6-3, 3-6, 6-3, 2-6, 9-7)"
2000,P. Sampras,P. Rafter,"(6-7, 7-6, 6-4, 6-2)"
1999,P. Sampras,A. Agassi,"(6-3, 6-4, 7-5)"
1998,P. Sampras,G. Ivanisevic,"(6-7, 7-6, 6-4, 3-6, 6-2)"
1997,P. Sampras,C. Pioline,"(6-4, 6-2, 6-4)"
1996,R. Krajicek,M. Washington,"(6-3, 6-4, 6-3)"
1995,P. Sampras,B. Becker,"(6-7, 6-2, 6-4, 6-2)"
1994,P. Sampras,G. Ivanisevic,"(7-6, 7-6, 6-0)"
1993,P. Sampras,J. Courier,"(7-6, 7-6, 3-6, 6-3)"
