2021,A. Barty,N. Osaka,S. Halep
2020,A. Barty,S. Halep,N. Osaka
2019,A. Barty,K. Pliskova,N. Osaka
2018,S. Halep,A. Kerber,C. Wozniacki
2017,S. Halep,G. Muguruza,C. Wozniacki
2016,A. Kerber,S. Williams,A. Radwanska
2015,S. Williams,S. Halep,G. Muguruza
2014,S. Williams,M. Sharapova,S. Halep
2013,S. Williams,V. Azarenka,N. Li
2012,V. Azarenka,M. Sharapova,S. Williams
2011,C. Wozniacki,P. Kvitova,V. Azarenka
2010,C. Wozniacki,V. Zvonareva,K. Clijsters
2009,S. Williams,D. Safina,S. Kuznetsova
2008,J. Jankovic,S. Williams,D. Safina
2007,J. Henin,S. Kuznetsova,J. Jankovic
2006,J. Henin,M. Sharapova,A. Mauresmo
2005,L. Davenport,K. Clijsters,A. Mauresmo
2004,L. Davenport,A. Mauresmo,A. Myskina
2003,J. Henin,K. Clijsters,S. Williams
2002,S. Williams,V. Williams,J. Capriati
2001,L. Davenport,J. Capriati,V. Williams
2000,M. Hingis,L. Davenport,V. Williams
1999,M. Hingis,L. Davenport,V. Williams
1998,L. Davenport,M. Hingis,J. Novotna
